949575703, client_big_img.txt,,,,,,,,,,,,,,,
949596500, client_big_txt_2.txt,,,,,,,,,,,,,,,
949616546, client_med_img_2.txt,,,,,,,,,,,,,,,
949636687, client_med_txt_3.txt,,,,,,,,,,,,,,,
949656796, client_small_img_2.txt,,,,,,,,,,,,,,,
949676906, client_small_txt_1.txt,,,,,,,,,,,,,,,
949697000, client_var_big_img.txt,,,,,,,,,,,,,,,
950078703, client_big_txt_2.txt,,,,,,,,,,,,,,,
950079203,[[1.67116700e+06 1.37936000e+05 9.95727452e-01]],0.934615385,7,1,,,,,,,,,,,,
950081305,[[0.00000e+00 1.37936e+05 1.00000e-10]],0.978823529,6,2,,,,,,,,,,,,
950083442,[[0.0000e+00 1.8111e+04 1.0000e-10]],0.932941176,6,3,,,,,,,,,,,,
950085644,[[0.0000e+00 1.8111e+04 1.0000e-10]],0,6,2,,,,,,,,,,,,
950087940,[[0.0000e+00 1.8111e+04 1.0000e-10]],0.945882353,6,2,,,,,,,,,,,,
950090089,[[0.0000e+00 1.8111e+04 1.0000e-10]],0.988947368,6,1,,,,,,,,,,,,
950092296,[[0.00000e+00 1.37936e+05 1.00000e-10]],0.922666667,8,0,,,,,,,,,,,,
950094480,[[0.00000e+00 1.37936e+05 1.00000e-10]],0.808,8,2,,,,,,,,,,,,
950096761,[[0.0000e+00 1.8111e+04 1.0000e-10]],0.924705882,6,1,,,,,,,,,,,,
950098765, client_med_img_2.txt,,,,,,,,,,,,,,,
950098977,[[8.30895000e+05 1.37936000e+05 7.49595257e-01]],0.805,5,1,,,,,,,,,,,,
950101096,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.983333333,5,0,,,,,,,,,,,,
950103240,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.06,5,1,,,,,,,,,,,,
950105548,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.811538462,5,1,,,,,,,,,,,,
950107649,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.979333333,5,1,,,,,,,,,,,,
950109836,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.985,5,1,,,,,,,,,,,,
