time,workload,reward,category,action,,,,,,
521957104,[[8.47600000e+04 0.00000000e+00 4.08746284e+00]],0.9429411764705883,0,3,,,,,,
521959182,[[6.69730000e+04 0.00000000e+00 3.80735492e+00]],0.6485714285714286,0,1,,,,,,
521961253,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.7514285714285714,0,0,,,,,,
521963303,[[8.476e+04 0.000e+00 4.000e+00]],0.8987499999999999,0,0,,,,,,
521965343,[[8.47600000e+04 0.00000000e+00 3.96981578e+00]],0.9023529411764706,0,1,,,,,,
521967432,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.77,0,3,,,,,,
521969583,[[6.69723077e+04 0.00000000e+00 3.54659356e+00]],0.6061538461538462,0,0,,,,,,
521971645,[[8.476e+04 0.000e+00 4.000e+00]],0.903125,0,2,,,,,,
521972093, client_big_img.txt,,,,,,,,,
521973701,[[1.669582e+06 0.000000e+00 1.000000e-10]],0.5963636363636363,2,1,,,,,,
521975841,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.8621428571428571,2,0,,,,,,
521977986,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.49750000000000005,2,1,,,,,,
521980102,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.8684615384615385,2,1,,,,,,
521982160,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.994,2,1,,,,,,
521984190,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.99375,2,2,,,,,,
521986295,[[1.669582e+06 0.000000e+00 1.000000e-10]],0.5191666666666667,2,1,,,,,,
521988373,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.8792857142857142,2,1,,,,,,
521990410,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9973333333333333,2,1,,,,,,
521992203, client_med_img_2.txt,,,,,,,,,
521992444,[[1.44709447e+06 0.00000000e+00 8.36640742e-01]],0.9346666666666666,2,1,,,,,,
521994473,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.993125,2,0,,,,,,
521996508,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.6215384615384616,2,1,,,,,,
521998700,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9299999999999999,2,1,,,,,,
522000757,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.98375,2,2,,,,,,
522002807,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.8192857142857143,2,1,,,,,,
522004911,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9279999999999999,2,1,,,,,,
522006941,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.98375,2,2,,,,,,
522009080,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.8053846153846154,2,1,,,,,,
522011154,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9393333333333334,2,0,,,,,,
522012218, client_small_txt_1.txt,,,,,,,,,
522013204,[[8.30895000e+05 9.18000000e+02 8.73981048e-01]],0.9411764705882353,2,0,,,,,,
522015231,[[0.00e+00 9.18e+02 1.00e-10]],0.9968421052631579,1,3,,,,,,
522017301,[[0.00e+00 5.84e+02 1.00e-10]],0.94625,1,1,,,,,,
522019442,[[0.00e+00 9.18e+02 1.00e-10]],0.9894444444444445,1,2,,,,,,
522021527,[[0.00e+00 5.84e+02 1.00e-10]],0.9883333333333333,1,3,,,,,,
522023606,[[0.00e+00 5.84e+02 1.00e-10]],0.93875,1,1,,,,,,
